Genus	Hpyl_rpoB_RIF	H-NS	tet(Q)	vanUG	AcrE	fexB	Cjej_gyrA_FLO	tet(O)	cpxA	mdtH
g__Avibacteroides	0.0853963525046979	-0.012064	0.363212205494085	-0.148351274	-0.012480496	-0.049017169	0.0311891828823463	0.00512516787684573	-0.008581088	0.0322466523404391
g__Brachyspira	-0.098525232	-0.17342721	-0.549803312	-0.116598988	-0.144675933	-0.225747024	-0.112236455	-0.193215943	-0.229431888	-0.039146353
g__CALXNP01	0.18328684790276	0.176595675074275	0.262816034297679	0.0333173775907905	0.11661349320625	0.103533847863596	0.00593074101168071	0.0822162397572403	0.069424062532312	0.0107434213183989
g__Campylobacter_D	0.103972330803621	0.0817860723721427	-0.006018436	-0.028496765	0.225159038492298	0.124687738714429	0.559836564255343	0.135362784097492	0.152298453599998	0.155276160318732
g__Campylobacter_E	0.0563833655012288	0.188411291355139	0.0796487019457722	0.0663709614353088	0.179943970986431	0.0747815109905075	0.181865383621753	0.0790520402252155	0.240801293149854	0.0774845744613815
g__Enterenecus	0.0469199631971875	0.0879765893285204	0.276990382695081	-0.269967929	0.0235810936544117	0.0905960513714176	0.153811627975522	-0.027691664	0.139659066212128	0.111275139932051
g__Enterococcus_E	0.31753512718709	0.169964303654104	0.328751569048473	0.209393977609028	0.230849078217929	0.240959096056862	0.120592755853839	0.125570042449647	0.31573691737206	0.133767093795816
g__Escherichia	0.173625005911187	0.545136641405487	0.30677881066843	0.0527394489123177	0.543783269291341	0.283060000566506	0.165497759948918	0.170747161712778	0.692883562972646	0.505755295507039
g__Fusobacterium_A	0.0685884085989956	0.194909710346356	0.141676081598869	-0.104094849	0.207716633536671	0.0724467655860417	0.136390195862091	0.562257073566927	0.22752351249696	0.188599121729416
g__Helicobacter_G	0.0235333353964008	-0.119931573	-0.44651639	-0.307447857	-0.112683269	-0.180424239	-0.090424308	0.044907692898838	-0.24322906	-0.071075267
g__Helicobacter_H	0.380376722961262	0.137763896157822	0.156429669133845	0.153592559881087	0.18019126362032	0.161589013411585	0.0761670682109531	0.245333205121543	0.183667887357927	0.229122814968257
g__Limousia	0.075637594427168	-0.050962034	0.0588480595603366	0.56756811361525	0.0293052243652561	-0.002344864	-0.01603756	0.113012420770757	0.069123742985903	-0.027661073
g__Megamonas	0.144887738351406	0.123669113470844	0.394387370897438	0.0294008071944395	0.0978787242693524	0.19506198424274	0.0796490047967575	0.00438403626323089	0.146936869428827	0.0625030065269074
g__Paraprevotella	0.279169472951444	0.22028420654776	0.640077539406398	-0.198121291	0.17892539260078	0.137735553387599	0.0913016072113078	0.133371168606068	0.312854192370428	0.1720928089412
g__Phocaeicola	0.222087150992209	0.196595871033635	0.750680210411754	-0.049935707	0.230460937210468	0.2176856639687	0.12313885047923	0.190240881516049	0.384569155211759	0.196775782261391
g__Salmonella	-0.014435773	-0.062150777	-0.044962732	-0.068842404	0.0220157350409605	0.0357628230554744	-0.052350806	-0.046262625	-0.074019292	-0.056669207
