contig_ID,MGE_ID,cARG_ID,Distance,MGE_subtype,ARG_type,ARG_Start,ARG_End,ARG_Strand,MGE_Start,MGE_End,MGE_Strand,species,label
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_1,BKDN170796251-1A_k127_76506_7,3386,tnpA10,tet(R),3581,4204,-1,1,195,1,s__Escherichia coli,plasmid.Proteobacteria
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_1,BKDN170796251-1A_k127_76506_7,3386,tnpA10,tet(R),3581,4204,-1,1,195,1,s__Escherichia coli,plasmid.Proteobacteria
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_1,BKDN170796251-1A_k127_76506_8,4091,tnpA10,tet(B),4286,5491,1,1,195,1,s__Escherichia coli,plasmid.Proteobacteria
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_1,BKDN170796251-1A_k127_76506_8,4091,tnpA10,tet(B),4286,5491,1,1,195,1,s__Escherichia coli,plasmid.Proteobacteria
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_11,BKDN170796251-1A_k127_76506_7,2507,IS10,tet(R),3581,4204,-1,6711,6905,-1,s__Escherichia coli,plasmid.Proteobacteria
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_11,BKDN170796251-1A_k127_76506_7,2507,IS10,tet(R),3581,4204,-1,6711,6905,-1,s__Escherichia coli,plasmid.Proteobacteria
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_11,BKDN170796251-1A_k127_76506_8,1220,IS10,tet(B),4286,5491,1,6711,6905,-1,s__Escherichia coli,plasmid.Proteobacteria
BKDN170796251-1A_k127_76506,BKDN170796251-1A_k127_76506_11,BKDN170796251-1A_k127_76506_8,1220,IS10,tet(B),4286,5491,1,6711,6905,-1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_2,CCH57A_k127_60713_5,1220,tnpA10,tet(B),2672,3877,-1,244,1452,1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_2,CCH57A_k127_60713_5,1220,tnpA10,tet(B),2672,3877,-1,244,1452,1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_2,CCH57A_k127_60713_6,2507,tnpA10,tet(R),3959,4582,1,244,1452,1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_2,CCH57A_k127_60713_6,2507,tnpA10,tet(R),3959,4582,1,244,1452,1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_12,CCH57A_k127_60713_5,4091,tnpA10,tet(B),2672,3877,-1,7968,8165,-1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_12,CCH57A_k127_60713_5,4091,tnpA10,tet(B),2672,3877,-1,7968,8165,-1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_12,CCH57A_k127_60713_6,3386,tnpA10,tet(R),3959,4582,1,7968,8165,-1,s__Escherichia coli,plasmid.Proteobacteria
CCH57A_k127_60713,CCH57A_k127_60713_12,CCH57A_k127_60713_6,3386,tnpA10,tet(R),3959,4582,1,7968,8165,-1,s__Escherichia coli,plasmid.Proteobacteria
FDM17B_k127_244131,FDM17B_k127_244131_1,FDM17B_k127_244131_8,4091,tnpA10,tet(B),5530,6735,1,231,1439,1,s__Escherichia coli,plasmid.Proteobacteria
