contig_ID,MGE_ID,cARG_ID,Distance,MGE_Type,MGE_symbol,ARG,Drug_Class,Resistance_Mechanism,ARG_Start,ARG_End,ARG_Strand,MGE_Start,MGE_End,MGE_Strand,kingdom,phylum,class,order,family,genus,species,label
BKDN170793833-1A_k127_399900,BKDN170793833-1A_k127_399900_3,BKDN170793833-1A_k127_399900_3,0,qacEdelta,qacEdelta,qacEdelta1,disinfecting agents and antiseptics,antibiotic efflux,1139,1486,-1,1139,1486,-1,k__Bacteria,p__unclassified Bacteria phylum,c__unclassified Bacteria class,o__unclassified Bacteria order,f__unclassified Bacteria family,g__unclassified Bacteria genus,s__unclassified Bacteria species,plasmid.unclassified
BKDN170793833-1A_k127_399900,BKDN170793833-1A_k127_399900_3,BKDN170793833-1A_k127_399900_2,0,qacEdelta,qacEdelta,sul1,sulfonamide antibiotic,antibiotic target replacement,306,1145,-1,1139,1486,-1,k__Bacteria,p__unclassified Bacteria phylum,c__unclassified Bacteria class,o__unclassified Bacteria order,f__unclassified Bacteria family,g__unclassified Bacteria genus,s__unclassified Bacteria species,plasmid.unclassified
BKDN170793835-1A_k127_194797,BKDN170793835-1A_k127_194797_3,BKDN170793835-1A_k127_194797_3,0,qacEdelta,qacEdelta,qacEdelta1,disinfecting agents and antiseptics,antibiotic efflux,1139,1486,-1,1139,1486,-1,k__Bacteria,p__unclassified Bacteria phylum,c__unclassified Bacteria class,o__unclassified Bacteria order,f__unclassified Bacteria family,g__unclassified Bacteria genus,s__unclassified Bacteria species,plasmid.unclassified
BKDN170793835-1A_k127_194797,BKDN170793835-1A_k127_194797_3,BKDN170793835-1A_k127_194797_2,0,qacEdelta,qacEdelta,sul1,sulfonamide antibiotic,antibiotic target replacement,306,1145,-1,1139,1486,-1,k__Bacteria,p__unclassified Bacteria phylum,c__unclassified Bacteria class,o__unclassified Bacteria order,f__unclassified Bacteria family,g__unclassified Bacteria genus,s__unclassified Bacteria species,plasmid.unclassified
BKDN170793836-1A_k127_166535,BKDN170793836-1A_k127_166535_3,BKDN170793836-1A_k127_166535_2,0,qacEdelta,qacEdelta,sul1,sulfonamide antibiotic,antibiotic target replacement,306,1145,-1,1139,1486,-1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793836-1A_k127_166535,BKDN170793836-1A_k127_166535_3,BKDN170793836-1A_k127_166535_5,1125,qacEdelta,qacEdelta,dfrA17,diaminopyrimidine antibiotic,antibiotic target replacement,2611,3243,-1,1139,1486,-1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793836-1A_k127_166535,BKDN170793836-1A_k127_166535_3,BKDN170793836-1A_k127_166535_3,0,qacEdelta,qacEdelta,qacEdelta1,disinfecting agents and antiseptics,antibiotic efflux,1139,1486,-1,1139,1486,-1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793836-1A_k127_166535,BKDN170793836-1A_k127_166535_3,BKDN170793836-1A_k127_166535_4,206,qacEdelta,qacEdelta,aadA5,aminoglycoside antibiotic,antibiotic inactivation,1692,2480,-1,1139,1486,-1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793837-1A_k127_194170,BKDN170793837-1A_k127_194170_3,BKDN170793837-1A_k127_194170_2,206,qacEdelta,qacEdelta,aadA5,aminoglycoside antibiotic,antibiotic inactivation,848,1636,1,1842,2189,1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793837-1A_k127_194170,BKDN170793837-1A_k127_194170_3,BKDN170793837-1A_k127_194170_3,0,qacEdelta,qacEdelta,qacEdelta1,disinfecting agents and antiseptics,antibiotic efflux,1842,2189,1,1842,2189,1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793837-1A_k127_194170,BKDN170793837-1A_k127_194170_3,BKDN170793837-1A_k127_194170_1,1125,qacEdelta,qacEdelta,dfrA17,diaminopyrimidine antibiotic,antibiotic target replacement,85,717,1,1842,2189,1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793837-1A_k127_194170,BKDN170793837-1A_k127_194170_3,BKDN170793837-1A_k127_194170_4,0,qacEdelta,qacEdelta,sul1,sulfonamide antibiotic,antibiotic target replacement,2183,3022,1,1842,2189,1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,plasmid.Proteobacteria
BKDN170793838-1A_k127_3552,BKDN170793838-1A_k127_3552_3,BKDN170793838-1A_k127_3552_1,1125,qacEdelta,qacEdelta,dfrA17,diaminopyrimidine antibiotic,antibiotic target replacement,3,617,1,1742,2089,1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__unclassified Gammaproteobacteria order,f__unclassified Gammaproteobacteria family,g__unclassified Gammaproteobacteria genus,s__unclassified Gammaproteobacteria species,plasmid.Proteobacteria
BKDN170793838-1A_k127_3552,BKDN170793838-1A_k127_3552_3,BKDN170793838-1A_k127_3552_4,0,qacEdelta,qacEdelta,sul1,sulfonamide antibiotic,antibiotic target replacement,2083,2922,1,1742,2089,1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__unclassified Gammaproteobacteria order,f__unclassified Gammaproteobacteria family,g__unclassified Gammaproteobacteria genus,s__unclassified Gammaproteobacteria species,plasmid.Proteobacteria
BKDN170793838-1A_k127_3552,BKDN170793838-1A_k127_3552_3,BKDN170793838-1A_k127_3552_2,206,qacEdelta,qacEdelta,aadA5,aminoglycoside antibiotic,antibiotic inactivation,748,1536,1,1742,2089,1,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__unclassified Gammaproteobacteria order,f__unclassified Gammaproteobacteria family,g__unclassified Gammaproteobacteria genus,s__unclassified Gammaproteobacteria species,plasmid.Proteobacteria
